Name,URL,Image_URL
BIKIHADA CLINIC,https://hdmall.co.th/bikihada-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2297/original/BIKIHADA_CLINIC.png
BIY Clinic,https://hdmall.co.th/biy-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1819/original/biy-clinic.jpg
BIYO CLINIC,https://hdmall.co.th/biyo-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2507/original/BIYO_CLINIC.JPG
BJH แจ้งวัฒนะ,https://hdmall.co.th/bjh-%E0%B9%81%E0%B8%88%E0%B9%89%E0%B8%87%E0%B8%A7%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B8%B0,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2401/original/BJH_%E0%B9%81%E0%B8%88%E0%B9%89%E0%B8%87%E0%B8%A7%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B8%B0.jpg
BLEZ Clinic,https://hdmall.co.th/blez-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2028/original/blezclinic.jpg
BM CLINIC,https://hdmall.co.th/bm-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2325/original/BM_CLINIC.jpg
BODYSET Physiotherapy,https://hdmall.co.th/bodyset-%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%81%E0%B8%B2%E0%B8%A2%E0%B8%A0%E0%B8%B2%E0%B8%9E%E0%B8%9A%E0%B8%B3%E0%B8%9A%E0%B8%B1%E0%B8%94,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2438/original/bodyset-physiotherapy.jpg
BOTAN CLINIC,https://hdmall.co.th/botan-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1059/original/botan-clinic.png
BP Clinic,https://hdmall.co.th/bp-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1889/original/bp-clinic.jpg
BRIA Health Center,https://hdmall.co.th/bria-health-center,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1313/original/BRIA_Health_Center-2.jpg
BSR Healthcare,https://hdmall.co.th/bsr-healthcare,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2158/original/BSR_Healthcare.jpg
BTLAB,https://hdmall.co.th/btlab,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2103/original/BTLAB.jpg
BYB Clinic (บีวายบี คลินิก),https://hdmall.co.th/byb-clinic-(%E0%B8%9A%E0%B8%B5%E0%B8%A7%E0%B8%B2%E0%B8%A2%E0%B8%9A%E0%B8%B5-%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81),https://static.hdmall.co.th/184x184/webp/system/brands/logo/2407/original/BYB-logo01.png
Baihuitang Clinic,https://hdmall.co.th/baihuitang-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1927/original/baihuitang-clinic.jpg
Bangchak Medical Clinic,https://hdmall.co.th/bangchak-medical-clinic,https://static.hdmall.co.th/184x184/webp/system/brands/logo/2120/original/Bangchak_Medical_Clinic.jpg
Bangkok Anti-Aging Center,https://hdmall.co.th/bangkok-anti-aging-center,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1327/original/Bangkok_Anti-Aging_Center.jpeg
Bangkok Cytogenetics Center,https://hdmall.co.th/bangkok-cytogenetics-center,https://static.hdmall.co.th/184x184/webp/system/brands/logo/1420/original/Bangkok_Cytogenetics_Center.jpg
